차명,변속기,인승,기통,마력,최대 토그,연료,주행거리,가격
쌍용 티볼리 에어 1.6 가솔린 2WD  IX,자동,5인승,4기통,126마력,16kgm,가솔린,7만km,"1,320"
쌍용 티볼리 에어 1.6 가솔린 2WD  RX,자동,5인승,4기통,126마력,16kgm,가솔린,2만km,"1,650"
현대 투싼 2.0 VGT 디젤 MX 2WD 최고급형,자동,5인승,4기통,146마력,32kgm,디젤,19만km,299
쉐보레 스파크 L,수동,5인승,4기통,70마력,9.4kgm,가솔린,22만km,290
쌍용 티볼리 1.6 가솔린 2WD  LX 최고급형,자동,5인승,4기통,126마력,16kgm,가솔린,6만km,"1,350"
현대 포터2 윙바디 ,수동,,,,,디젤,13만km,790
르노삼성 SM5 뉴 임프레션 LE,자동,5인승,4기통,143마력,20kgm,가솔린,11만km,290
쉐보레 스파크 LT,자동,5인승,4기통,70마력,9.4kgm,가솔린,2만km,590
현대 그랜져IG 2.4 GDI 프리미엄 스페셜,자동,5인승,4기통,190마력,24.6kgm,가솔린,4만km,"2,690"
쌍용 티볼리 1.6 가솔린 2WD  LX 고급형,자동,5인승,4기통,126마력,16kgm,가솔린,4만km,"1,290"
르노삼성 뉴 SM5 SE,자동,5인승,4기통,140마력,18.8kgm,LPG,23만km,190
현대 더 뉴 i40 2.0 GDi PYL,자동,5인승,4기통,166마력,20.9kgm,가솔린,4만km,"1,350"
현대 아반떼MD M16 GDi  스마트,자동,5인승,,,,가솔린,14만km,479
현대 e-카운티 롱바디 슈퍼 25인승,수동,,,,,디젤,28만km,850
현대 e-카운티  롱바디 디럭스 39인승 어린이버스,수동,,,,,디젤,21만km,"1,380"
현대 e-카운티 롱바디 슈퍼 25인승,수동,,,,,디젤,32만km,"1,250"
현대 e-카운티 롱바디 슈퍼 25인승,수동,,,,,디젤,26만km,780
GM대우 레스타 단축 슈프림,수동,,,,,디젤,7만km,"2,780"
쉐보레 더 뉴 트랙스 1.6 디젤 LT 디럭스,자동,5인승,4기통,135마력,32.7kgm,디젤,1천km,"2,130"
기아 그랜드카니발  R 하이리무진 11인승 2.2 GLX 프리미엄,자동,11인승,4기통,197마력,44.5kgm,디젤,27만km,729
르노삼성 SM5 뉴 임프레션  SE,자동,5인승,4기통,143마력,20kgm,가솔린,15만km,219
쌍용 렉스턴W RX5 2WD 디럭스,자동,7인승,4기통,155마력,36.7kgm,디젤,22만km,599
현대 그랜져HG 240 럭셔리,자동,5인승,4기통,201마력,25.5kgm,가솔린,12만km,880
기아 봉고3 익스냉동탑차,수동,,,,,디젤,19만km,850
현대 그랜져HG 240 모던,자동,5인승,4기통,201마력,25.5kgm,가솔린,16만km,"1,150"
쉐보레 카마로 SS 6.2 V8 ,자동,4인승,8기통,453마력,62.9kgm,가솔린,4만km,"2,759"
현대 뉴 제네시스  G330 프리미엄 AWD,자동,5인승,6기통,282마력,35.4kgm,가솔린,19만km,"1,699"
현대 뉴 에쿠스 VS 460  프레스티지,자동,5인승,8기통,366마력,44.8kgm,가솔린,22만km,799
기아 K5 2.0  프레스티지,자동,5인승,4기통,165마력,20.2kgm,가솔린,9만km,699
현대 싼타페TM 2.0 디젤 2WD  익스클루시브,자동,5인승,4기통,186마력,41kgm,디젤,5만km,"2,450"
현대 더 뉴 제네시스 쿠페 200 터보 S,자동,4인승,4기통,275마력,38kgm,가솔린,8만km,"1,530"
기아 스포티지R 2.0 디젤 2WD TLX 고급형,자동,5인승,4기통,184마력,40kgm,디젤,13만km,999
기아 더 뉴 쏘렌토 2.0 디젤 2WD 노블레스,자동,5인승,4기통,186마력,41kgm,디젤,8만km,"2,530"
현대 그랜져HG 240 모던,자동,5인승,4기통,201마력,25.5kgm,가솔린,12만km,"1,399"
현대 뉴 제네시스 G330 프리미엄 AWD,자동,5인승,6기통,282마력,35.4kgm,가솔린,6만km,"2,930"
현대 제네시스 GP380 프라다 다이내믹 에디션,자동,5인승,6기통,334마력,40.3kgm,가솔린,14만km,"1,930"
현대 코나 1.6 T-GDi 2WD 프리미엄,자동,5인승,4기통,177마력,27kgm,가솔린,4만km,"2,090"
현대 투싼ix 디젤 LX20 2WD 스마트 팩,자동,5인승,4기통,184마력,40kgm,디젤,17만km,930
현대 LF쏘나타 2.0 T-GDi 익스클루시브,자동,5인승,4기통,245마력,36kgm,가솔린,13만km,"1,150"
르노삼성 뉴 SM5 LE ,자동,5인승,4기통,140마력,18.8kgm,가솔린,17만km,230
﻿현대 쏘나타 하이브리드 2.0 HEV  로얄,자동,5인승,4기통,191마력,27kgm,전기,13만km,550
르노삼성 QM3 LE ,자동,5인승,4기통,90마력,22.4kgm,디젤,16만km,630
현대 그랜져HG 300  노블,자동,5인승,6기통,270마력,31.5kgm,가솔린,14만km,860
현대 그랜져IG 3.0 LPi  모던,자동,5인승,6기통,235마력,28.6kgm,LPG,6만km,"2,100"
기아 K7 VG240  디럭스,자동,5인승,4기통,180마력,23.5kgm,가솔린,15만km,470
기아 그랜드카니발 R GX 그랜드팩,자동,11인승,,,,디젤,15만km,498
쌍용 렉스턴 스포츠 2.2 디젤 4WD 어드벤처,자동,5인승,,,,디젤,6만km,"2,080"
현대 NF쏘나타 LPI,자동,5인승,,,,LPG,9만km,230
쌍용 티볼리 에어 1.6 디젤 2WD IX,자동,5인승,4기통,115마력,30.6kgm,디젤,7만km,"1,190"
기아 올 뉴 모닝 1.0 가솔린 디럭스,자동,5인승,3기통,,,가솔린,4만km,465
기아 올 뉴 프라이드 1.6 GDI 세단 프레스티지,자동,5인승,4기통,140마력,16.9kgm,가솔린,14만km,450
기아 그랜드카니발 GLX 기본형,자동,11인승,,,,디젤,13만km,430
현대 그랜져TG Q270 기본형 플러스팩,자동,5인승,6기통,192마력,25.5kgm,가솔린,14만km,249
GM대우 라세티 프리미어 CDX 일반형,자동,5인승,4기통,114마력,15.5kgm,가솔린,11만km,148
GM대우 젠트라X 1.6 CDX,자동,5인승,4기통,105마력,14.7kgm,가솔린,5만km,168
GM대우 젠트라X 1.6 CDX,자동,5인승,4기통,105마력,14.7kgm,가솔린,8만km,159
기아 뉴 쎄라토 1.6 VGT SLX 기본형,자동,5인승,4기통,117마력,26.5kgm,디젤,10만km,116
쌍용 뉴 로디우스 RD400 11인승 4WD EZ 스페셜,자동,11인승,,,,디젤,11만km,249
르노삼성 뉴 SM3 LE 플러스,자동,5인승,4기통,112마력,15.9kgm,가솔린,13만km,178
르노삼성 SM7 VQ35 RE 블랙,자동,5인승,6기통,217마력,31.9kgm,가솔린,19만km,86
기아 뉴 오피러스 GH270 스페셜 럭셔리,자동,5인승,6기통,192마력,25.5kgm,가솔린,13만km,178
르노삼성 SM7 VQ23 SE 플레저,자동,5인승,6기통,170마력,23kgm,가솔린,6만km,119
기아 올 뉴 카니발 2.2 디젤 11인승 하이리무진 프레스티지,자동,11인승,4기통,202마력,45kgm,디젤,7만km,"2,329"
기아 그랜드카니발 GX 고급형,자동,11인승,4기통,170마력,36kgm,디젤,22만km,450
쌍용 체어맨W CW700 프레스티지,자동,5인승,6기통,250마력,35kgm,가솔린,12만km,419
쌍용 티볼리 1.6 디젤 2WD VX,자동,5인승,4기통,115마력,30.6kgm,디젤,6만km,899
쌍용 렉스턴W RX7 4WD 럭셔리,자동,7인승,4기통,178마력,40.8kgm,디젤,17만km,690
쌍용 코란도 투리스모 2.0 디젤 4WD LT 11인승,자동,11인승,4기통,155마력,36.7kgm,디젤,14만km,629
현대 그랜져TG Q270 럭셔리 스마트팩,자동,5인승,6기통,195마력,25.6kgm,가솔린,12만km,239
GM대우 토스카 프리미엄6 L6 2.0 LPG 디럭스,자동,5인승,,,,LPG,13만km,129
기아 올 뉴 쏘렌토 2.0 디젤 2WD 프레스티지,자동,5인승,4기통,186마력,41kgm,디젤,12만km,"1,489"
쉐보레 스파크 LT  스페셜 에디션,자동,5인승,4기통,70마력,9.4kgm,가솔린,12만km,259
쉐보레 스파크 LT,자동,5인승,4기통,70마력,9.4kgm,가솔린,7만km,289
GM대우 뉴 라보 롱카고 DLX,수동,2인승,,,,LPG,5만km,339
기아 올 뉴 모닝 1.0 가솔린 스마트,자동,5인승,,,,가솔린,1만km,389
쉐보레 스파크 LPGi L ,자동,5인승,4기통,65마력,9.3kgm,LPG,14만km,199
기아 로체 이노베이션 2.0 LPI LX 고급형 스페셜,자동,5인승,,,,LPG,14만km,269
현대 제네시스 BH380 로얄 VIP 팩,자동,5인승,6기통,290마력,36.5kgm,가솔린,17만km,490
제네시스 EQ900 3.8 GDi AWD  프리미엄 럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,11만km,"2,780"
현대 그랜져TG Q270  럭셔리,자동,5인승,6기통,195마력,25.6kgm,가솔린,16만km,180
현대 더 뉴 그랜져 3.0 LPi  프리미엄,자동,5인승,,,,LPG,7만km,"2,500"
현대 제네시스 BH330 럭셔리,자동,5인승,6기통,262마력,32.1kgm,가솔린,34만km,349
기아 셀토스 1.6 터보 2WD  노블레스,자동,5인승,4기통,177마력,27kgm,가솔린,2만km,"2,060"
기아 K7 프리미어 3.0 GDI  시그니처,자동,5인승,6기통,266마력,31.4kgm,가솔린,2만km,"3,150"
현대 그랜져IG 3.3 GDI  셀러브리티,자동,5인승,6기통,290마력,35kgm,가솔린,3만km,"2,599"
제네시스 G70 2.0 T-GDi  어드밴스드,자동,5인승,4기통,252마력,36kgm,가솔린,4만km,"2,640"
기아 올 뉴 K7 3.0 LPi  럭셔리,자동,5인승,6기통,235마력,28.6kgm,LPG,17만km,"1,260"
기아 더 뉴 모하비 3.0 디젤 4WD VIP,자동,7인승,6기통,260마력,56.1kgm,디젤,6만km,"2,490"
기아 스팅어 2.2 디젤 플래티넘,자동,5인승,4기통,202마력,45kgm,디젤,5만km,"2,450"
기아 K7 프리미어 3.0 LPI 프레스티지,자동,5인승,6기통,235마력,28.6kgm,LPG,15만km,"1,899"
제네시스 EQ900 3.3 T-GDi AWD  프리미엄 럭셔리,자동,5인승,6기통,370마력,52kgm,가솔린,13만km,"2,640"
현대 뉴 제네시스 G330  프리미엄,자동,5인승,6기통,282마력,35.4kgm,가솔린,21만km,"1,280"
제네시스 EQ900 5.0 GDi AWD  프레스티지 리무진,자동,5인승,8기통,425마력,53kgm,가솔린,17만km,"3,289"
쌍용 뉴 체어맨W V8 5000 VVIP,자동,5인승,8기통,306마력,45kgm,가솔린,30만km,760
현대 제네시스 BH330 그랜드 프라임팩,자동,5인승,6기통,262마력,32.1kgm,가솔린,19만km,620
제네시스 EQ900 3.8 GDi 럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,23만km,"2,289"
제네시스 EQ900 3.8 GDi 럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,15만km,"2,690"
쌍용 뉴 체어맨W V8 5000 리무진,자동,5인승,8기통,306마력,45kgm,가솔린,22만km,970
제네시스 EQ900 3.8 GDi 럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,5만km,"3,629"
제네시스 EQ900 3.3 T-GDi AWD 럭셔리,자동,5인승,6기통,370마력,52kgm,가솔린,29만km,"2,239"
현대 팰리세이드 3.8 가솔린 2WD 익스클루시브,자동,,,,,가솔린,1만km,"3,360"
현대 더 뉴 그랜져 하이브리드 2.4 HEV 프리미엄,자동,,,,,가솔린+전기,1만km,"3,280"
기아 카니발 4세대 2.2 디젤 9인승  시그니처,자동,9인승,,,,디젤,4천km,"3,790"
현대 그랜져TG Q270 LPI  개인형,자동,5인승,,,,LPG,25만km,199
현대 더 뉴 그랜져 G2.5 캘리그래피,자동,5인승,,,,가솔린,7천km,"3,850"
쌍용 뉴체어맨 CM600S  마제스티,자동,5인승,6기통,220마력,32kgm,가솔린,15만km,150
현대 뉴 에쿠스 VS 380  럭셔리,자동,5인승,6기통,290마력,36.5kgm,가솔린,31만km,550
쌍용 뉴 체어맨W CW600 4트로닉  프레스티지,자동,5인승,6기통,225마력,30.2kgm,가솔린,18만km,599
기아 올 뉴 K3 1.6 T-GDI 5도어 GT 플러스,자동,5인승,4기통,204마력,27.0kgm,가솔린,1만km,"1,690"
기아 K7 프리미어 3.0 GDI 노블레스,자동,5인승,6기통,266마력,31.4kgm,가솔린,2만km,"2,699"
﻿현대 싼타페 더 프라임 2.0 디젤 2WD 밸류 플러스,자동,5인승,4기통,186마력,41kgm,디젤,5만km,"1,859"
현대 더 뉴 그랜져 3.3 GDi 익스클루시브,자동,5인승,,,,가솔린,7천km,"3,399"
기아 올 뉴 카니발 2.2 디젤 9인승 럭셔리,자동,9인승,4기통,202마력,45kgm,디젤,10만km,"1,290"
현대 에쿠스 JS 350  럭셔리,자동,5인승,6기통,210마력,31kgm,가솔린,18만km,190
현대 싼타페TM 2.0 T-GDi 4WD  프레스티지,자동,5인승,4기통,235마력,36kgm,가솔린,2만km,"2,800"
제네시스 EQ900 3.3 T-GDi AWD 프리미엄 럭셔리,자동,5인승,6기통,370마력,52kgm,가솔린,14만km,"2,890"
현대 그랜져IG 하이브리드 2.4 HEV  프리미엄,자동,5인승,4기통,199마력,26.7kgm,가솔린+전기,19만km,"1,590"
현대 뉴 에쿠스 VS 500 프레스티지,자동,5인승,,,,가솔린,11만km,"1,120"
현대 그랜져HG 300  로얄,자동,5인승,6기통,270마력,31.5kgm,가솔린,23만km,480
현대 그랜져HG 300 LPG 프라임,자동,5인승,,,,LPG,18만km,659
제네시스 G80 2.2 디젤 AWD 프리미엄 럭셔리,자동,5인승,,,,디젤,12만km,"2,690"
제네시스 EQ900 3.8 GDi AWD  럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,16만km,"2,849"
현대 NF쏘나타 트랜스폼 N20 LPI  럭셔리,자동,5인승,,,,LPG,24만km,149
현대 더 뉴 그랜드스타렉스  하이루프,자동,,,,,디젤,1만km,"2,850"
쉐보레 스파크 LT 스페셜 에디션,자동,5인승,4기통,70마력,9.4kgm,가솔린,10만km,259
기아 올 뉴 모닝 1.0 가솔린 디럭스,자동,5인승,3기통,,,가솔린,6만km,329
GM대우 다마스2 2인승 밴 슈퍼,자동,2인승,4기통,38마력,6.3kgm,LPG,15만km,209
현대 i30 1.6 VVT 프리미어,자동,5인승,4기통,121마력,15.7kgm,가솔린,14만km,300
기아 레이 1.0 가솔린 프레스티지,자동,5인승,3기통,78마력,9.6kgm,가솔린,9만km,550
쌍용 코란도 스포츠 CX7 4WD 패션,자동,5인승,,,,디젤,16만km,730
쉐보레 스파크 LPGi LS 플러스,자동,5인승,4기통,65마력,9.3kgm,LPG,6만km,350
기아 올 뉴 모닝 1.0 가솔린 럭셔리,자동,5인승,3기통,82마력,9.6kgm,가솔린,14만km,289
기아 올 뉴 카니발  2.2 디젤 9인승 럭셔리,자동,9인승,4기통,202마력,45kgm,디젤,14만km,"1,159"
쉐보레 스파크 LS 플러스,자동,5인승,4기통,75마력,9.6kgm,가솔린,5만km,269
기아 올 뉴 모닝 1.0 가솔린 디럭스,자동,5인승,3기통,,,가솔린,13만km,269
현대 LF쏘나타 2.0 LPi 모던,자동,5인승,,,,LPG,13만km,629
GM대우 마티즈 크리에이티브 LPi 재즈 스타,자동,5인승,4기통,65마력,9.3kgm,LPG,13만km,199
기아 K5 2.0 LPi 럭셔리,자동,5인승,,,,LPG,16만km,389
쉐보레 스파크 LT 스페셜 에디션,자동,5인승,4기통,70마력,9.4kgm,가솔린,8만km,229
기아 올 뉴 모닝 1.0 가솔린 디럭스,자동,5인승,3기통,,,가솔린,6만km,359
쉐보레 스파크 LT  스페셜 에디션,자동,5인승,4기통,70마력,9.4kgm,가솔린,10만km,259
현대 제네시스 BH330  럭셔리,자동,5인승,6기통,262마력,32.1kgm,가솔린,19만km,479
제네시스 EQ900 3.8 GDi 럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,15만km,"2,699"
현대 그랜져IG 2.4 GDI 프리미엄,자동,5인승,4기통,190마력,24.6kgm,가솔린,14만km,"1,389"
기아 포르테 쿱 1.6 CVVT 고급형 레드프리미엄,자동,5인승,4기통,124마력,15.9kgm,가솔린,15만km,269
기아 K7 VG350 노블레스 프리미엄,자동,5인승,6기통,290마력,34.5kgm,가솔린,16만km,549
GM대우 마티즈 크리에이티브 재즈 스타,자동,5인승,4기통,70마력,9.4kgm,가솔린,7만km,189
GM대우 라세티 프리미어 CDX 고급형,자동,5인승,4기통,114마력,15.5kgm,가솔린,7만km,209
GM대우 알페온 EL240 프리미엄,자동,5인승,4기통,181마력,23.8kgm,가솔린,15만km,329
기아 올 뉴 모닝 1.0 가솔린 디럭스 스페셜,자동,5인승,3기통,82마력,9.6kgm,가솔린,10만km,259
기아 올 뉴 모닝 1.0 가솔린  디럭스 스페셜,자동,5인승,3기통,82마력,9.6kgm,가솔린,14만km,269
현대 더 럭셔리 그랜져 Q270 LPI 팩2,자동,5인승,,,,LPG,24만km,590
현대 YF쏘나타 2.0 Y20 월드컵 스페셜 에디션,자동,5인승,4기통,165마력,20.2kgm,가솔린,17만km,570
현대 제네시스 쿠페 200 터보 P,자동,4인승,4기통,210마력,30.5kgm,가솔린,14만km,670
현대 그랜져HG 240  모던,자동,5인승,4기통,190마력,25.5kgm,가솔린,6만km,"1,600"
현대 벨로스터 N 2.0 T-GDi 퍼포먼스 패키지,수동,5인승,,,,가솔린,5만km,"2,450"
쉐보레 크루즈 5도어 2.0 LTZ 플러스,자동,5인승,4기통,163마력,36.7kgm,디젤,11만km,490
기아 카니발 4세대 2.2 디젤 7인승 하이리무진 시그니처,자동,7인승,4기통,202마력,45kgm,디젤,362km,0
기아 셀토스 1.6 디젤 2WD  노블레스,자동,5인승,4기통,136마력,32.6kgm,디젤,2만km,"2,050"
현대 포터2 냉동탑차,수동,,,,,디젤,9만km,900
기아 올 뉴 카니발 2.2 디젤 9인승  럭셔리,자동,9인승,4기통,202마력,45kgm,디젤,11만km,"1,250"
쉐보레 더 뉴 트랙스 1.6 디젤  LTZ,자동,5인승,4기통,135마력,32.7kgm,디젤,7만km,"1,250"
기아 K5 2세대 2.0 가솔린 SX  프레스티지,자동,5인승,4기통,168마력,20.5kgm,가솔린,5만km,"1,000"
기아 스토닉 1.6 디젤  디럭스,자동,5인승,4기통,110마력,30.6kgm,디젤,8만km,"1,100"
현대 쏘나타 뉴 라이즈 2.0 CVVL  스타일,자동,5인승,4기통,163마력,20kgm,가솔린,4만km,"1,050"
현대 더 뉴 맥스크루즈 R2.2 e-VGT 2WD  익스클루시브,자동,7인승,4기통,202마력,45kgm,디젤,9만km,"1,700"
현대 아반떼AD 1.6 GDi  스마트,자동,5인승,4기통,132마력,16.3kgm,가솔린,10만km,860
현대 그랜져HG 220 디젤  모던,자동,5인승,4기통,202마력,45kgm,디젤,13만km,860
쉐보레 트레일블레이저 1.3 터보  프리미어,자동,5인승,3기통,156마력,24.1kgm,가솔린,1만km,"2,190"
기아 올 뉴 모닝 1.0 가솔린  디럭스 JA,자동,5인승,3기통,,,가솔린,1만km,530
쌍용 티볼리 에어 1.6 디젤 2WD  IX,자동,5인승,4기통,115마력,30.6kgm,디젤,12만km,950
기아 더 뉴 레이 1.0 가솔린  디럭스,자동,5인승,3기통,78마력,9.6kgm,가솔린,8만km,760
현대 더 뉴 그랜드스타렉스 밴 5인승 스마트,자동,5인승,,,,디젤,1만km,"1,280"
기아 레이 1.0 가솔린  디럭스,자동,5인승,3기통,78마력,9.6kgm,가솔린,7만km,700
기아 레이 1.0 가솔린  디럭스,자동,5인승,3기통,78마력,9.6kgm,가솔린,13만km,530
르노삼성 QM6 2.0 dCi 2WD RE,자동,5인승,4기통,177마력,38.8kgm,디젤,10만km,"1,200"
현대 그랜져HG 300 LPG 모던,자동,5인승,,,,LPG,10만km,990
제네시스 G70 2.2 디젤 어드밴스드,자동,5인승,4기통,202마력,45kgm,디젤,4만km,"2,690"
쉐보레 올란도 1.6 디젤  LS 고급형,자동,7인승,4기통,134마력,32.6kgm,디젤,9만km,600
르노삼성 뉴 QM3 RE  시그니처,자동,5인승,4기통,90마력,22.4kgm,가솔린,9만km,"1,090"
﻿현대 그랜드스타렉스 WAGON 12인승 4WD  럭셔리,자동,,,,,디젤,12만km,"1,270"
현대 그랜져HG 300  프라임,자동,5인승,6기통,270마력,31.6kgm,가솔린,14만km,690
기아 스포티지 4세대 2.0 디젤 2WD  프레스티지,자동,5인승,4기통,186마력,41kgm,디젤,12만km,"1,360"
GM대우 알페온 EL240  디럭스,자동,5인승,4기통,185마력,24kgm,가솔린,12만km,490
쉐보레 임팔라 2.5 LTZ ,자동,5인승,4기통,199마력,26kgm,가솔린,11만km,"1,290"
기아 쏘렌토R 2.0 리미티드 2WD  고급형,자동,7인승,4기통,184마력,40kgm,디젤,8만km,780
기아 뉴 쏘렌토R 디젤 2.0 2WD  TLX 스페셜,자동,7인승,4기통,184마력,41kgm,디젤,10만km,"1,160"
기아 올 뉴 쏘렌토 2.0 디젤 2WD  프레스티지,자동,5인승,4기통,186마력,41kgm,디젤,9만km,"1,470"
기아 스포티지R 2.0 디젤 2WD  TLX 고급형,자동,5인승,4기통,184마력,40kgm,디젤,12만km,650
기아 뉴 쏘렌토R 디젤 2.0 2WD  TLX 스페셜,자동,7인승,4기통,184마력,41kgm,디젤,16만km,930
현대 뉴 제네시스 G330  모던 AWD,자동,5인승,6기통,282마력,35.4kgm,가솔린,15만km,"1,699"
쉐보레 올란도 2.0 LPI  LT 프리미엄,자동,7인승,4기통,140마력,18.8kgm,LPG,12만km,640
현대 쏘나타 하이브리드 2.0 HEV  스마트,자동,5인승,4기통,191마력,27kgm,가솔린+전기,18만km,500
현대 그랜져HG 하이브리드 2.4 HEV  프리미엄,자동,5인승,4기통,199마력,26.7kgm,가솔린/LPG겸용,17만km,960
기아 레이 1.0 바이퓨얼 럭셔리,자동,5인승,3기통,78마력,9.6kgm,가솔린/LPG겸용,10만km,699
기아 레이 1.0 바이퓨얼 프레스티지,자동,5인승,3기통,78마력,9.6kgm,가솔린/LPG겸용,12만km,790
현대 LF쏘나타 하이브리드 2.0 HEV  스마트,자동,5인승,4기통,191마력,27kgm,가솔린+전기,14만km,"1,140"
쉐보레 말리부 2.0 디젤  LT 프리미엄팩,자동,5인승,6기통,156마력,35.8kgm,디젤,16만km,690
