차명,변속기,인승,기통,마력,최대 토그,연료,주행거리,가격
기아 스포티지 4세대 1.7 디젤 2WD  트렌디,자동,5인승,4기통,141마력,34.7kgm,디젤,14만km,"1,299"
기아 더 뉴 K5 2.0 LPi  럭셔리,자동,5인승,,,,LPG,16만km,640
기아 올 뉴 쏘렌토 2.0 디젤 2WD  노블레스,자동,5인승,4기통,186마력,41kgm,디젤,11만km,"1,699"
기아 올 뉴 K3 1.6 T-GDI 5도어  GT 베이직,자동,5인승,4기통,204마력,27.0kgm,가솔린,1만km,"1,970"
기아 올 뉴 쏘렌토 2.2 디젤 4WD 노블레스 스페셜,자동,5인승,4기통,202마력,45kgm,디젤,18만km,"1,599"
기아 올 뉴 K7 2.4 GDi 리미티드,자동,5인승,4기통,190마력,24.6kgm,가솔린,5만km,"2,199"
기아 K7 프리미어 2.5 GDI 노블레스,자동,5인승,4기통,198마력,25.3kgm,가솔린,5만km,"3,099"
기아 K3 1.6 디젤  트렌디,자동,5인승,4기통,128마력,26.5kgm,디젤,11만km,799
기아 올 뉴 K7 3.3 GDi 노블레스 스페셜,자동,5인승,6기통,290마력,35kgm,가솔린,10만km,"1,799"
기아 K7 VG270 럭셔리,자동,5인승,6기통,200마력,26kgm,가솔린,13만km,599
쌍용 올 뉴 렉스턴 2.2 디젤 4WD 더 블랙,자동,,,,,디젤,1만km,"4,350"
쌍용 뉴 코란도 C 2.2 디젤 AWD  익스트림,자동,5인승,4기통,178마력,40.8kgm,디젤,2만km,"1,699"
기아 올 뉴 쏘렌토 2.2 디젤 4WD  노블레스,자동,5인승,4기통,202마력,45kgm,디젤,10만km,"1,899"
﻿쉐보레 더 넥스트 스파크 1.0 LTZ ,자동,5인승,4기통,75마력,9.6kgm,가솔린,6만km,730
GM대우 라세티 프리미어 CDX 블루 & 블랙 에디션 ,자동,5인승,4기통,114마력,15.5kgm,가솔린,11만km,280
르노삼성 뉴 SM5  LE ,자동,5인승,4기통,141마력,19.8kgm,가솔린,13만km,260
현대 그랜져HG 300 LPG  이그제큐티브,자동,5인승,,,,LPG,14만km,750
쉐보레 아베오 LT  최고급형,자동,5인승,4기통,114마력,15.1kgm,가솔린,8만km,340
쉐보레 캡티바 2.0 디젤 2WD  LT,자동,5인승,,,,디젤,9만km,620
쉐보레 올란도 2.0 디젤  LT 프리미엄,자동,7인승,4기통,163마력,36.7kgm,디젤,13만km,520
기아 더 뉴 K5 2.0  프레스티지,자동,5인승,4기통,172마력,20.5kgm,가솔린,11만km,899
기아 뉴모닝 SLX  뷰티 블랙 프리미엄,자동,5인승,4기통,72마력,9.2kgm,가솔린,9만km,220
기아 K5 2.0 노블레스,자동,5인승,4기통,165마력,20.2kgm,가솔린,13만km,560
기아 포르테 1.6 CVVT SI ,자동,5인승,4기통,124마력,15.9kgm,가솔린,13만km,360
쉐보레 말리부 2.0  LTZ 디럭스팩,자동,5인승,6기통,141마력,18.8kgm,가솔린,9만km,599
쉐보레 더 넥스트 스파크 1.0 LTZ ,자동,5인승,4기통,75마력,9.6kgm,가솔린,8만km,730
기아 오피러스 프리미엄 GH270  스페셜,자동,5인승,6기통,195마력,25.6kgm,가솔린,11만km,399
쉐보레 트랙스 1.6 디젤  LT 레더 패키지,자동,5인승,4기통,135마력,32.7kgm,디젤,12만km,790
